Speed,Pos,LSD,MSD,BSD,Time_Since_MSD
1,6.92542,9999,294,225,5340
1,6.0,9999,279,213,980
1,5.33083,9999,312,269,2820
1,5.45542,9999,9999,9999,860
1,6.56917,9999,512,538,12020
1,4.55708,9999,9999,9999,1680
1,7.29458,9999,560,481,6560
1,9.34208,9999,190,184,3340
1,8.2525,429,9999,9999,40
1,3.51042,9999,345,269,7500
1,2.90292,9999,9999,9999,3020
1,3.53792,213,9999,9999,40
1,6.95917,9999,626,542,15380
1,6.07833,308,9999,9999,0
1,0.0,9999,9999,1013,720
1,7.20333,9999,330,9999,6980
1,6.525,570,9999,420,0
1,7.29458,9999,562,480,7880
1,6.34583,9999,274,320,660
1,7.06583,9999,520,541,8280
1,8.61375,9999,485,9999,11880
1,5.45125,9999,577,435,240
1,9.34208,9999,191,184,2600
1,6.3075,9999,380,9999,2720
1,2.72417,366,418,341,60
1,2.76542,9999,333,9999,9280
1,2.1,9999,9999,9999,7700
1,5.49042,9999,319,259,1240
2,4.91708,295,9999,9999,0
1,7.9375,9999,476,420,1060
1,9.34208,9999,192,184,2220
1,7.97292,9999,342,263,2600
1,7.0225,9999,305,231,5500
1,4.07875,9999,267,9999,4020
1,5.14333,9999,384,9999,2080
1,7.97292,9999,343,267,2860
1,6.20833,9999,266,9999,5160
1,6.53292,9999,169,323,640
1,4.26917,427,9999,9999,40
1,6.57208,9999,445,345,5300
1,3.465,9999,374,433,180
1,0.657917,9999,9999,9999,1420
2,5.99458,9999,9999,9999,4160
1,5.21958,9999,303,264,180
2,0.15875,9999,9999,1011,1020
2,3.51333,535,9999,9999,2640
1,6.29458,9999,308,340,760
1,7.29458,9999,562,480,7820
1,0.09125,9999,9999,9999,3420
1,6.18708,9999,169,229,980
2,1.4075,334,499,272,20
0,5.09833,328,619,257,20
1,6.57583,9999,441,361,5180
1,6.41333,9999,313,227,1400
1,6.01875,9999,265,9999,3120
1,0.0,9999,9999,9999,780
1,7.29417,9999,349,270,3280
1,6.46833,9999,515,531,1280
1,2.78792,9999,9999,9999,10660
1,1.30083,9999,419,9999,3720
1,9.34208,9999,190,185,3740
2,5.02875,9999,9999,9999,2880
2,0.8425,9999,9999,1016,980
1,0.0,9999,9999,1017,1860
1,6.34083,9999,325,9999,3660
